symbol,date,price
beer_prop,12/12/1,0.85
beer_prop,13/2/1,0.9
beer_prop,13/3/1,0.9
beer_prop,13/4/1,0.9
beer_prop,13/5/1,0.8
beer_prop,13/6/1,0.8
beer_prop,13/7/1,0.8
beer_prop,13/8/1,0.9
beer_prop,13/9/1,0.7
beer_prop,13/11/1,0.6
beer_prop,13/12/1,0.466666667
beer_prop,14/1/1,0.266666667
beer_prop,14/2/1,0.166666667
beer_prop,14/3/1,0.166666667
beer_prop,14/4/1,0.366666667
beer_prop,14/5/1,0.5
beer_prop,14/6/1,0.5
beer_prop,14/9/1,0.4
time_servic_prop,12/12/1,0.55
time_servic_prop,13/2/1,0.45
time_servic_prop,13/3/1,0.4
time_servic_prop,13/4/1,0.25
time_servic_prop,13/5/1,0.35
time_servic_prop,13/6/1,0.383333333
time_servic_prop,13/7/1,0.583333333
time_servic_prop,13/8/1,0.633333333
time_servic_prop,13/9/1,0.833333333
time_servic_prop,13/11/1,0.733333333
time_servic_prop,13/12/1,0.8
time_servic_prop,14/1/1,0.8
time_servic_prop,14/2/1,0.8
time_servic_prop,14/3/1,0.6
time_servic_prop,14/4/1,0.7
time_servic_prop,14/5/1,0.7
time_servic_prop,14/6/1,0.7
time_servic_prop,14/9/1,0.5
food_prop,12/12/1,0.8
food_prop,13/2/1,0.9
food_prop,13/3/1,0.75
food_prop,13/4/1,0.85
food_prop,13/5/1,0.85
food_prop,13/6/1,0.85
food_prop,13/7/1,0.85
food_prop,13/8/1,1
food_prop,13/9/1,1
food_prop,13/11/1,1
food_prop,13/12/1,0.933333333
food_prop,14/1/1,0.733333333
food_prop,14/2/1,0.733333333
food_prop,14/3/1,0.733333333
food_prop,14/4/1,0.733333333
food_prop,14/5/1,0.8
food_prop,14/6/1,1
food_prop,14/9/1,0.8
